game_pk,away_runs_through5,home_runs_through5,home_leading_after5,tied_after5
633851,0,2,1,0
633926,3,0,0,0
633877,3,6,1,0
633856,1,6,1,0
633861,3,3,0,1
633857,1,4,1,0
633868,4,3,0,0
633863,6,4,0,0
633878,7,5,0,0
633880,3,4,1,0
633873,1,2,1,0
633891,4,8,1,0
633895,1,2,1,0
633885,2,0,0,0
633864,8,0,0,0
633871,2,4,1,0
633879,2,0,0,0
633867,4,2,0,0
633866,7,2,0,0
633855,1,3,1,0
633834,6,5,0,0
633853,1,3,1,0
633882,2,4,1,0
633844,4,2,0,0
633883,3,1,0,0
633842,1,2,1,0
633848,1,2,1,0
633988,3,14,1,0
633954,5,0,0,0
633836,0,0,0,1
633819,5,1,0,0
633831,3,0,0,0
633860,0,7,1,0
633835,1,1,0,1
633876,3,6,1,0
633833,4,5,1,0
633859,1,2,1,0
633809,3,2,0,0
633832,4,2,0,0
633823,2,5,1,0
633841,0,4,1,0
633818,0,0,0,1
633824,3,0,0,0
633858,2,4,1,0
633862,1,1,0,1
633815,3,0,0,0
633820,8,1,0,0
633830,0,5,1,0
633838,2,13,1,0
633840,1,6,1,0
633846,0,4,1,0
633825,3,1,0,0
633865,6,3,0,0
633837,2,3,1,0
633817,5,8,1,0
633816,0,1,1,0
633920,3,1,0,0
633797,2,2,0,1
633800,1,6,1,0
633787,5,2,0,0
633795,1,4,1,0
633807,8,3,0,0
633839,2,0,0,0
633799,3,4,1,0
633827,2,3,1,0
633828,4,5,1,0
633852,0,2,1,0
633886,2,4,1,0
633850,5,1,0,0
633845,5,4,0,0
633821,2,0,0,0
633786,3,9,1,0
633794,1,1,0,1
633814,3,12,1,0
633780,4,1,0,0
633810,1,2,1,0
633774,0,3,1,0
633798,0,1,1,0
633893,2,1,0,0
633808,7,0,0,0
633802,0,1,1,0
633847,0,2,1,0
633869,4,3,0,0
633843,3,1,0,0
633806,2,0,0,0
633812,1,3,1,0
633796,2,7,1,0
633779,3,4,1,0
633772,3,0,0,0
633773,2,8,1,0
633785,4,3,0,0
633766,1,3,1,0
633793,7,1,0,0
633801,2,1,0,0
633813,2,4,1,0
633822,1,5,1,0
633752,1,1,0,1
633788,1,0,0,0
633804,2,2,0,1
633778,5,1,0,0
633826,0,6,1,0
633765,1,5,1,0
633777,1,0,0,0
633756,2,0,0,0
633784,0,3,1,0
633739,1,1,0,1
633753,2,1,0,0
633764,0,0,0,1
633811,8,1,0,0
633738,3,1,0,0
633759,0,3,1,0
633767,5,3,0,0
633791,2,7,1,0
633803,5,3,0,0
633783,1,2,1,0
633792,8,2,0,0
633775,2,6,1,0
633776,1,2,1,0
633744,4,3,0,0
633757,1,2,1,0
633762,0,0,0,1
633754,3,5,1,0
633745,0,2,1,0
633748,0,8,1,0
633758,7,7,0,1
633733,1,3,1,0
633790,4,2,0,0
633770,0,1,1,0
633742,5,4,0,0
633746,1,0,0,0
633735,3,1,0,0
633741,0,9,1,0
633743,0,5,1,0
633771,0,3,1,0
633781,2,3,1,0
633782,2,4,1,0
633789,3,2,0,0
633720,2,3,1,0
633768,1,2,1,0
633717,0,3,1,0
633731,3,2,0,0
633761,0,12,1,0
633763,2,7,1,0
633718,0,5,1,0
633699,4,5,1,0
633704,0,3,1,0
633712,4,5,1,0
633721,13,2,0,0
633725,3,0,0,0
633726,4,7,1,0
633730,3,7,1,0
633732,0,2,1,0
633751,6,0,0,0
633698,0,0,0,1
633736,0,4,1,0
633740,2,7,1,0
633723,4,0,0,0
633710,0,5,1,0
633715,0,7,1,0
633688,2,0,0,0
633690,5,0,0,0
633711,1,3,1,0
633722,1,2,1,0
633728,13,3,0,0
633737,1,3,1,0
633805,5,2,0,0
633713,1,1,0,1
633749,5,1,0,0
633707,2,5,1,0
633696,6,1,0,0
633719,0,4,1,0
633689,0,2,1,0
633693,1,2,1,0
633678,0,4,1,0
633700,0,1,1,0
633705,2,3,1,0
633655,7,2,0,0
633673,3,2,0,0
633680,4,2,0,0
633727,2,2,0,1
633703,0,1,1,0
633729,1,8,1,0
633734,1,3,1,0
633652,1,3,1,0
633716,3,3,0,1
633684,0,6,1,0
633653,2,5,1,0
633681,2,3,1,0
633769,2,6,1,0
633724,7,4,0,0
633676,0,3,1,0
633714,0,0,0,1
633755,3,2,0,0
633829,2,0,0,0
633694,1,0,0,0
633701,4,2,0,0
633656,2,2,0,1
633679,8,3,0,0
633626,0,6,1,0
633675,3,3,0,1
633709,0,0,0,1
633612,1,3,1,0
633634,2,7,1,0
633665,1,1,0,1
633706,5,7,1,0
633632,4,2,0,0
633628,0,1,1,0
633695,1,2,1,0
633630,1,6,1,0
633659,5,6,1,0
633708,6,6,0,1
633619,1,5,1,0
633645,2,13,1,0
633658,7,1,0,0
633677,2,0,0,0
633641,3,5,1,0
633622,0,6,1,0
633633,3,3,0,1
633692,2,0,0,0
633691,0,1,1,0
633687,0,7,1,0
633617,0,0,0,1
633623,0,5,1,0
633624,0,2,1,0
633697,3,2,0,0
633584,0,6,1,0
633593,1,2,1,0
633609,2,3,1,0
633618,0,0,0,1
633607,1,9,1,0
633579,4,3,0,0
633638,5,2,0,0
633683,2,3,1,0
633702,1,1,0,1
633616,4,2,0,0
633654,0,7,1,0
633604,0,0,0,1
633600,3,5,1,0
633596,2,5,1,0
633615,1,5,1,0
633606,4,1,0,0
633613,7,0,0,0
633573,2,5,1,0
633590,2,0,0,0
633592,6,6,0,1
633594,2,2,0,1
633585,5,1,0,0
633583,0,6,1,0
633576,1,6,1,0
633597,5,5,0,1
633610,6,1,0,0
633577,3,5,1,0
633650,1,5,1,0
633598,3,0,0,0
633661,3,5,1,0
633550,1,0,0,0
633557,1,3,1,0
633575,1,0,0,0
633636,4,1,0,0
633558,2,4,1,0
633602,2,8,1,0
633629,0,2,1,0
633574,4,0,0,0
633567,5,0,0,0
633611,2,6,1,0
633563,3,3,0,1
633554,0,1,1,0
633566,0,3,1,0
633582,9,1,0,0
633565,0,1,1,0
633760,0,4,1,0
633747,5,0,0,0
633542,3,0,0,0
633605,1,5,1,0
633588,3,3,0,1
633533,1,5,1,0
633651,1,6,1,0
633580,4,2,0,0
633547,1,1,0,1
633549,3,1,0,0
633572,0,1,1,0
633621,2,2,0,1
633519,5,5,0,1
633526,2,8,1,0
633571,0,1,1,0
633750,3,0,0,0
633532,9,4,0,0
633537,0,1,1,0
633670,5,0,0,0
633603,1,0,0,0
633528,0,1,1,0
633540,0,3,1,0
633569,4,2,0,0
633546,5,9,1,0
633541,2,4,1,0
633578,1,0,0,0
633570,1,1,0,1
633614,3,0,0,0
633551,2,2,0,1
633568,6,0,0,0
633513,3,0,0,0
633524,1,5,1,0
633561,2,5,1,0
633553,0,1,1,0
633627,2,2,0,1
633559,1,4,1,0
633503,4,1,0,0
633560,0,9,1,0
633514,1,2,1,0
633517,0,0,0,1
633548,5,0,0,0
633564,8,1,0,0
633538,1,1,0,1
633502,5,1,0,0
633505,1,0,0,0
633545,1,0,0,0
633599,0,0,0,1
633536,1,3,1,0
633521,1,0,0,0
633530,1,3,1,0
633535,3,3,0,1
633543,3,4,1,0
633591,2,9,1,0
633556,2,4,1,0
633555,6,6,0,1
633620,3,1,0,0
633498,5,4,0,0
633523,0,1,1,0
633492,5,8,1,0
633608,1,2,1,0
633501,1,1,0,1
633581,1,1,0,1
633589,1,3,1,0
633520,0,8,1,0
633534,0,6,1,0
633510,0,3,1,0
633518,4,3,0,0
633525,3,7,1,0
633539,1,1,0,1
633552,2,3,1,0
633509,0,2,1,0
633531,0,3,1,0
633562,2,2,0,1
633500,1,2,1,0
633512,6,0,0,0
633515,2,5,1,0
633459,1,1,0,1
633477,0,6,1,0
633489,1,1,0,1
633493,3,0,0,0
633494,1,0,0,0
633504,4,0,0,0
633473,1,7,1,0
633486,0,1,1,0
633482,7,0,0,0
633516,1,3,1,0
633527,2,0,0,0
633544,1,2,1,0
633499,1,7,1,0
633472,1,6,1,0
633465,0,2,1,0
633601,3,2,0,0
633466,4,11,1,0
633475,5,5,0,1
633450,2,3,1,0
633476,3,1,0,0
633483,3,2,0,0
633490,1,1,0,1
633458,1,3,1,0
633443,1,4,1,0
633444,5,10,1,0
633495,0,1,1,0
633497,0,3,1,0
633454,5,4,0,0
633496,6,5,0,0
633506,4,1,0,0
633587,0,3,1,0
633446,1,2,1,0
633449,3,3,0,1
633478,2,7,1,0
633508,0,2,1,0
633455,0,5,1,0
633488,2,2,0,1
633471,0,3,1,0
633426,1,6,1,0
633474,7,14,1,0
633491,2,3,1,0
633427,5,8,1,0
633432,5,4,0,0
633419,8,5,0,0
633484,4,7,1,0
633445,6,5,0,0
633435,7,5,0,0
633467,1,5,1,0
633437,2,13,1,0
633479,1,11,1,0
633485,4,2,0,0
633461,0,3,1,0
633421,1,2,1,0
633456,5,1,0,0
633457,0,9,1,0
633529,4,4,0,1
633405,4,0,0,0
633447,7,0,0,0
633463,2,1,0,0
633481,6,2,0,0
633469,6,2,0,0
633480,1,3,1,0
633418,1,3,1,0
633460,2,2,0,1
633438,3,5,1,0
633448,0,3,1,0
633404,1,3,1,0
633507,3,1,0,0
633522,4,5,1,0
633464,0,6,1,0
633420,2,1,0,0
633451,6,0,0,0
633462,1,0,0,0
633468,0,1,1,0
633415,2,2,0,1
633433,3,6,1,0
633402,6,7,1,0
633452,2,0,0,0
633470,5,2,0,0
633511,3,1,0,0
633440,3,0,0,0
633403,1,1,0,1
633387,5,1,0,0
633390,2,2,0,1
633416,2,1,0,0
633439,2,6,1,0
633441,2,2,0,1
633442,5,7,1,0
633401,3,1,0,0
633429,3,1,0,0
633430,3,3,0,1
633424,0,0,0,1
633453,1,4,1,0
633379,7,2,0,0
633388,4,5,1,0
633398,1,1,0,1
633374,5,0,0,0
633422,0,1,1,0
633408,0,1,1,0
633410,2,6,1,0
633414,1,1,0,1
633428,2,1,0,0
633423,1,2,1,0
633431,1,0,0,0
633434,2,1,0,0
633391,0,4,1,0
633399,0,0,0,1
633425,0,4,1,0
633417,2,4,1,0
633436,3,0,0,0
633380,0,0,0,1
633361,2,4,1,0
